Entity,Code,Year,percentage
Australia,AUS,2017,0.7
Australia,AUS,2018,0.7
Australia,AUS,2019,0.7
Australia,AUS,2020,0.7
Australia,AUS,2021,0.7
India,IND,2017,78.8
India,IND,2018,73.2
India,IND,2019,71.4
India,IND,2020,76.2
India,IND,2021,74.1
Malaysia,MYS,2017,3
Malaysia,MYS,2018,2.5
Malaysia,MYS,2019,2.1
Malaysia,MYS,2020,2.8
Malaysia,MYS,2021,2.5
Switzerland,CHE,2017,0
Switzerland,CHE,2018,0
Switzerland,CHE,2019,0
Switzerland,CHE,2020,0
Switzerland,CHE,2021,0
United Kingdom,GBR,2017,0.5
United Kingdom,GBR,2018,0.5
United Kingdom,GBR,2019,0.5
United Kingdom,GBR,2020,0.5
United Kingdom,GBR,2021,0.4
United States,USA,2017,2
United States,USA,2018,1.7
United States,USA,2019,1.5
United States,USA,2020,1.2
United States,USA,2021,1.2
World,OWID_WRL,2017,43.8
World,OWID_WRL,2018,41.8
World,OWID_WRL,2019,41.2
World,OWID_WRL,2020,43.3
World,OWID_WRL,2021,42.2
